entity_id,uid
11721,3336366
11771,16
11771,1231
11771,3316421
11916,1246
11916,1251
11916,2141
11916,3357796
11916,3388251
11921,16
11921,1246
11921,1251
11921,2116
11921,3316421
11921,3319861
11921,3319866
11921,3319871
11921,3357796
11921,3386296
11961,16
11961,1246
11961,1251
11961,3316421
11961,3317431
11971,16
11971,26
11971,481
11971,571
11971,1786
11971,3324201
11971,3375106
11971,3387046
11976,16
11976,1246
11976,1251
11976,2116
11976,3317431
11976,3357796
11981,16
11981,1231
11981,3314766
11981,3316421
11981,3320636
11981,3386296
11991,16
11991,1231
11991,3314766
11991,3316421
11991,3320636
11991,3386296
12081,16
12081,1231
12081,3383711
12081,3386296
12111,16
12111,1246
12111,1251
12111,3317431
12111,3320636
12186,16
12186,1246
12186,1251
12186,2141
12186,3317431
12186,3319861
12201,861
12201,976
12201,3316421
12201,3320636
12201,3322571
12201,3324741
12236,16
12236,1246
12236,1251
12236,2141
12241,16
12261,861
12261,976
12321,366
12321,1801
12441,16
12441,491
12441,956
12441,1231
12441,3316421
12441,3320636
12441,3386296
12516,1486
12516,2066
12516,3317871
12516,3387201
12556,1066
12571,3321226
12606,16
12606,1246
12606,1251
12756,1081
12756,3314491
12756,3321111
12826,1261
12826,2061
12826,3322001
12826,3323866
12826,3339241
12836,1246
12836,1251
12836,2226
12836,3316421
12836,3317431
12836,3320636
12886,1246
12886,1251
12886,2116
12886,3317431
12901,1081
12901,3314491
12951,1081
12951,1156
12951,3314491
12961,26
12961,1081
12981,16
12981,1541
12981,2091
12981,3323866
13036,491
13036,1066
13081,1246
13081,1251
13081,3317431
13081,3357796
13136,16
13136,1541
13136,3323866
13141,16
13141,26
13141,671
13161,16
13161,26
13161,671
13171,816
13171,3321226
13176,16
13176,26
13176,671
13176,1801
13186,816
13186,3321226
13186,3321236
13196,3323866
13201,3321226
13201,3321231
13206,816
13206,3321226
13206,3321231
13211,816
13211,3321226
13216,16
13216,491
13216,1066
13221,816
13221,3321226
13221,3321231
13226,3321226
13226,3321231
13231,816
13231,3321226
13231,3321231
13236,816
13236,3321226
13236,3321231
13246,816
13246,3321226
13246,3321231
13256,816
13256,3321226
13256,3321231
13276,16
13276,491
13276,1066
13286,1746
13286,3361341
13321,1746
13341,16
13341,1066
13356,16
13356,491
13356,1066
13366,16
13366,491
13366,1066
13401,816
13401,3321226
13401,3321231
13411,3321226
13411,3321231
13421,816
13421,3321226
13421,3321231
13436,816
13436,3321226
13436,3321231
13446,816
13446,3321226
13446,3321231
13456,816
13456,3321226
13456,3321231
13481,1541
13481,3323866
13486,1066
13506,1176
13506,1501
13506,3316696
13506,3323866
13536,1246
13536,1251
13536,3357796
13566,1251
13566,3357796
13596,1176
13596,1501
13596,3316696
13596,3323866
13601,1176
13601,1501
13601,3316696
13601,3323866
13666,1376
13666,3314726
13666,3315476
13666,3316201
13666,3316206
13666,3349956
13901,1081
13901,3323401
13936,1081
13936,3314491
13991,1081
14056,1251
14056,2141
14096,26
14096,366
14096,821
14111,1
14111,1631
14111,2096
14111,2206
14111,3374296
14121,1631
14121,2206
14121,3374296
14171,1066
14171,2186
14201,3318136
14226,856
14226,1626
14226,1631
14226,1741
14226,2096
14226,3323671
14256,1626
14256,2096
14256,3374296
14291,16
14291,26
14291,671
14316,1081
14336,1246
14336,1251
14336,2116
14336,2141
14336,3319861
14341,26
14341,1406
14341,3320636
14346,1176
14346,1501
14346,3316696
14346,3323866
14471,1066
